user_id,brand,plan,age,country,num_contacts,num_transactions
user_6386,Android,STANDARD,47,ES,0,4
user_3071,Apple,STANDARD,21,ES,2,3
user_4392,Android,METAL,24,IE,38,154
user_6931,Apple,STANDARD,53,GB,19,1
user_15764,Android,METAL,25,HR,7,6
user_12413,Apple,STANDARD,33,DE,0,28
user_8851,Apple,PREMIUM,21,GB,4,67
user_17883,Apple,STANDARD,24,MT,53,12
user_17062,Android,STANDARD,24,GB,29,2
user_11219,Android,STANDARD,22,LT,33,88
user_13761,Android,PREMIUM,58,RO,0,5
user_15936,Apple,STANDARD,59,PT,0,48
user_17029,Android,STANDARD,31,IT,20,10
user_17079,Android,STANDARD,33,IE,38,54
user_17792,Apple,PREMIUM,34,GB,5,5
user_7998,Android,STANDARD,37,GB,9,73
user_17359,Apple,METAL,22,FR,13,76
user_3099,Android,STANDARD,46,RO,8,34
user_8370,Android,STANDARD,30,GI,39,1
user_1090,Android,STANDARD,26,MT,15,21
user_13962,Apple,STANDARD,32,PL,48,3
user_11332,Apple,PREMIUM,24,GB,0,136
user_15076,Apple,STANDARD,27,CY,50,40
user_8188,Android,STANDARD,62,IE,83,2
user_12822,Android,PREMIUM,31,RO,22,92
user_6848,Apple,STANDARD,33,FR,18,26
user_8652,Android,PREMIUM,31,NO,19,16
user_12726,Apple,STANDARD,21,JE,16,45
user_3242,Android,STANDARD,63,IE,36,32
user_17437,Android,STANDARD,59,PL,5,4
user_13867,Android,STANDARD,20,MT,38,2
user_7374,Apple,STANDARD,52,GB,12,8
user_18263,Android,STANDARD,29,IE,30,116
user_12512,Apple,STANDARD,39,FR,29,6
user_7204,Android,METAL,37,PT,57,80
user_15291,Android,STANDARD,33,FR,13,20
user_16690,Android,STANDARD,39,GB,0,1
user_5814,Apple,STANDARD,59,LT,4,40
user_5299,Android,STANDARD,28,CZ,42,30
user_15153,Apple,STANDARD,42,GB,26,2
user_12116,Android,STANDARD,51,FR,3,8
user_7344,Android,STANDARD,29,LV,19,39
user_1788,Apple,STANDARD,53,ES,5,1
user_13437,Android,STANDARD,33,GB,17,92
user_10070,Apple,STANDARD,27,PL,7,6
user_11496,Apple,PREMIUM,36,GB,108,68
user_16877,Android,STANDARD,27,PL,28,11
user_470,Android,METAL,57,GB,8,4
user_14280,Android,STANDARD,24,IE,6,24
user_3622,Android,STANDARD,41,PL,29,20
user_8559,Android,STANDARD,29,RO,50,37
user_15706,Android,STANDARD,44,LT,54,4
user_9597,Android,STANDARD,32,PL,5,5
user_5648,Apple,STANDARD,27,PT,52,4
user_2483,Apple,STANDARD,56,RO,50,55
user_13800,Android,STANDARD,28,DE,9,66
user_1366,Android,STANDARD,35,GB,3,7
user_19185,Apple,STANDARD,20,MT,96,6
user_7434,Android,STANDARD,52,GI,23,59
user_845,Apple,STANDARD,44,BG,19,35
user_6813,Android,STANDARD,34,MT,76,18
user_7912,Android,STANDARD,27,GB,0,157
user_5037,Android,STANDARD,30,FR,0,2
user_5897,Apple,METAL,50,GB,30,50
user_10730,Android,STANDARD,26,IE,44,24
user_17057,Android,STANDARD,70,AT,5,3
user_17231,Android,STANDARD,24,RO,59,20
user_10324,Android,STANDARD,40,SK,1,50
user_18174,Apple,STANDARD,54,PT,80,4
user_5263,Android,STANDARD,32,BE,0,3
user_15339,Apple,STANDARD,41,PL,63,6
user_17209,Apple,STANDARD,31,GB,4,2
user_17082,Android,STANDARD,28,PL,19,13
user_12622,Android,STANDARD,45,MQ,3,8
user_7308,Apple,STANDARD,39,GB,0,15
user_8600,Apple,STANDARD,24,GB,19,4
